name,lat,lon,Magnitude [*]
2018-09-28,-0.2559,119.8462,7.5
2016-03-02,-4.9521,94.3299,7.8
2012-08-31,10.811,126.638,7.6
2012-04-11,0.802,92.463,8.2
2012-04-11,2.327,93.063,8.6
2010-10-25,-3.487,100.082,7.8
2010-07-23,6.776,123.259,7.5
2010-07-23,6.497,123.48,7.6
2010-06-12,7.881,91.936,7.5
2010-04-06,2.383,97.048,7.8
2009-09-30,-0.72,99.867,7.6
2009-08-10,14.099,92.902,7.5
2008-05-12,31.002,103.322,7.9
2007-09-12,-2.625,100.841,7.9
2007-09-12,-4.438,101.367,8.4
2007-08-08,-5.859,107.419,7.5
2007-01-21,1.065,126.282,7.5
2006-01-27,-5.473,128.131,7.6
2005-03-28,2.085,97.108,8.6
2004-12-26,3.295,95.982,9.1
2004-11-11,-8.152,124.868,7.5
2002-03-05,6.033,124.249,7.5
2001-10-19,-4.102,123.907,7.5
2001-01-01,6.898,126.579,7.5
2000-06-04,-4.721,102.087,7.9
2000-05-04,-1.105,123.573,7.6
1999-09-20,23.772,120.982,7.7
1998-11-29,-2.071,124.891,7.7
1998-05-03,22.306,125.308,7.5
1996-06-17,-7.137,122.589,7.9
1996-01-01,0.729,119.931,7.9
1992-12-12,-8.48,121.896,7.8
1991-06-20,1.196,122.787,7.5
1990-07-16,15.679,121.172,7.7
1990-04-18,1.186,122.857,7.8
