 ID   Lon (deg E)  Lat (deg N)  Hght (m) Location   Type
-----------------------------------------------------------
ARAU 100.27973979   6.45015850   18.0514 Malaysia
BANH  99.07561182  10.60953888   -4.5509 Thailand (Campaign)
BNKK 100.60665649  13.66843500  -16.5166 Thailand (CGPS)
CHAI 102.06709778  15.85359368  158.7107 Thailand (Campaign)
CHON 101.04471129  13.12052944   51.4517 Thailand (Campaign)
CHRI 100.10956663  20.24634451  331.7453 Thailand (Campaign)
CHTB 102.22140822  12.45502202  -16.9340 Thailand (Campaign)
CPNT  99.37437748  10.72465254    9.2794 Thailand (CGPS)
CUSV 100.53392011  13.73591489   74.2907 Thailand (IGS)
HUAH  99.97524176  12.51648469  -27.4469 Thailand (Campaign)
KCNB  99.50271614  13.99953010   20.4950 Thailand (Campaign)
LGKW  99.85126207   6.32850188   14.5104 Malaysia
LOEI 101.14549404  17.28002885  321.5861 Thailand (Campaign)
MHSN  97.96419563  19.28834117  195.6463 Thailand (Campaign)
MKNB 116.56604130   6.06008243 3352.8498 Malaysia (CGGPS)
MSTK  98.58793203  16.72126280  176.9768 Thailand (Campaign)
NAKH 100.12241609  15.67317184   21.3313 Thailand (Campaign)
NKPH 104.48230948  17.63238662  120.5818 Thailand (Campaign)
NKTM  99.84370720   9.18558930  -19.4289 Thailand (Campaign)
NTUS 103.67995749   1.34580202   75.4018 Singapore (IGS)
OTRI  99.37121291  18.33534057  240.1509 Thailand (Campaign)
PAT2 101.14356883   6.78631551    2.5666 Thailand (Campaign)
PHUK  98.30359797   7.75906878   -1.8166 Thailand (CGPS)
RTSD 100.50741011  13.76030869  -16.7218 Thailand (CGPS)
RYNG 101.03280049  12.76441930   37.1207 Thailand (CGPS)
SPKN 100.57661469  13.55374679  -25.7683 Thailand (CGPS)
SRIS 104.41594262  14.90112827  115.0731 Thailand (Campaign)
UDON 103.10492132  17.35876605  140.2210 Thailand (Campaign)
UTHA 100.01320820  15.38375997  107.6429 Thailand (Campaign)
UUMK 100.50633649   6.46218181   66.1085 Malaysia (CGPS)
